company_id,timein,breakout,breakin,timeout,monday,tuesday,wednesday,thursday,friday,saturday,sunday,flextime,delflag,id_,scheduleid
17,1:00:00,,,12:00:00,,,,,,,1,,,824,87
17,9:00:00,,,6:00:00,1,,,,,,,,,825,87
17,9:00:00,,,6:00:00,,1,,,,,,,,826,87
17,9:00:00,,,6:00:00,,,1,,,,,,,827,87
17,9:00:00,,,6:00:00,,,,1,,,,,,828,87
17,9:00:00,,,6:00:00,,,,,1,,,,,829,87
17,9:00:00,,,6:00:00,,,,,,1,,,,830,87
17,1:00:00,,,12:00:00,,,,,,,1,,,831,88
17,9:00:00,,,6:00:00,1,,,,,,,,,832,88
17,9:00:00,,,6:00:00,,1,,,,,,,,833,88
17,9:00:00,,,6:00:00,,,1,,,,,,,834,88
17,9:00:00,,,6:00:00,,,,1,,,,,,835,88
17,9:00:00,,,6:00:00,,,,,1,,,,,836,88
17,9:00:00,,,6:00:00,,,,,,1,,,,837,88
17,1:00:00,,,12:00:00,,,,,,,1,,,838,89
17,9:00:00,,,6:00:00,1,,,,,,,,,839,89
17,9:00:00,,,6:00:00,,1,,,,,,,,840,89
17,9:00:00,,,6:00:00,,,1,,,,,,,841,89
17,9:00:00,,,6:00:00,,,,1,,,,,,842,89
17,9:00:00,,,6:00:00,,,,,1,,,,,843,89
17,9:00:00,,,6:00:00,,,,,,1,,,,844,89
17,1:00:00,,,12:00:00,,,,,,,1,,,845,90
17,9:00:00,,,6:00:00,1,,,,,,,,,846,90
17,9:00:00,,,6:00:00,,1,,,,,,,,847,90
17,9:00:00,,,6:00:00,,,1,,,,,,,848,90
17,9:00:00,,,6:00:00,,,,1,,,,,,849,90
17,9:00:00,,,6:00:00,,,,,1,,,,,850,90
17,9:00:00,,,6:00:00,,,,,,1,,,,851,90
17,1:00:00,,,12:00:00,,,,,,,1,,,852,91
17,9:00:00,,,6:00:00,1,,,,,,,,,853,91
17,9:00:00,,,6:00:00,,1,,,,,,,,854,91
17,9:00:00,,,6:00:00,,,1,,,,,,,855,91
17,9:00:00,,,6:00:00,,,,1,,,,,,856,91
17,9:00:00,,,6:00:00,,,,,1,,,,,857,91
17,9:00:00,,,6:00:00,,,,,,1,,,,858,91
17,1:00:00,,,12:00:00,,,,,,,1,,,859,92
17,9:00:00,,,6:00:00,1,,,,,,,,,860,92
17,9:00:00,,,6:00:00,,1,,,,,,,,861,92
17,9:00:00,,,6:00:00,,,1,,,,,,,862,92
17,9:00:00,,,6:00:00,,,,1,,,,,,863,92
17,9:00:00,,,6:00:00,,,,,1,,,,,864,92
17,9:00:00,,,6:00:00,,,,,,1,,,,865,92
17,1:00:00,,,12:00:00,,,,,,,1,,,866,93
17,9:00:00,,,6:00:00,1,,,,,,,,,867,93
17,9:00:00,,,6:00:00,,1,,,,,,,,868,93
17,9:00:00,,,6:00:00,,,1,,,,,,,869,93
17,9:00:00,,,6:00:00,,,,1,,,,,,870,93
17,9:00:00,,,6:00:00,,,,,1,,,,,871,93
17,9:00:00,,,6:00:00,,,,,,1,,,,872,93
17,1:00:00,,,12:00:00,,,,,,,1,,,873,94
17,9:00:00,,,6:00:00,1,,,,,,,,,874,94
17,9:00:00,,,6:00:00,,1,,,,,,,,875,94
17,9:00:00,,,6:00:00,,,1,,,,,,,876,94
17,9:00:00,,,6:00:00,,,,1,,,,,,877,94
17,9:00:00,,,6:00:00,,,,,1,,,,,878,94
17,9:00:00,,,6:00:00,,,,,,1,,,,879,94
17,1:00:00,,,12:00:00,,,,,,,1,,,880,95
17,9:00:00,,,6:00:00,1,,,,,,,,,881,95
17,9:00:00,,,6:00:00,,1,,,,,,,,882,95
17,9:00:00,,,6:00:00,,,1,,,,,,,883,95
17,9:00:00,,,6:00:00,,,,1,,,,,,884,95
17,9:00:00,,,6:00:00,,,,,1,,,,,885,95
17,9:00:00,,,6:00:00,,,,,,1,,,,886,95
17,1:00:00,,,12:00:00,,,,,,,1,,,887,96
17,9:00:00,,,6:00:00,1,,,,,,,,,888,96
17,9:00:00,,,6:00:00,,1,,,,,,,,889,96
17,9:00:00,,,6:00:00,,,1,,,,,,,890,96
17,9:00:00,,,6:00:00,,,,1,,,,,,891,96
17,9:00:00,,,6:00:00,,,,,1,,,,,892,96
17,9:00:00,,,6:00:00,,,,,,1,,,,893,96
17,1:00:00,,,12:00:00,,,,,,,1,,,894,97
17,9:00:00,,,6:00:00,1,,,,,,,,,895,97
17,9:00:00,,,6:00:00,,1,,,,,,,,896,97
17,9:00:00,,,6:00:00,,,1,,,,,,,897,97
17,9:00:00,,,6:00:00,,,,1,,,,,,898,97
17,9:00:00,,,6:00:00,,,,,1,,,,,899,97
17,9:00:00,,,6:00:00,,,,,,1,,,,900,97
17,1:00:00,,,12:00:00,,,,,,,1,,,901,98
17,9:00:00,,,6:00:00,1,,,,,,,,,902,98
17,9:00:00,,,6:00:00,,1,,,,,,,,903,98
17,9:00:00,,,6:00:00,,,1,,,,,,,904,98
